,Home_Team,Away_Team,Result,Link,Season,Round,League
147,Paderborn,Darmstadt 98,0-1,https://www.besoccer.com/match/paderborn/darmstadt-98/202216387,2022,17,2_liga
148,Ingolstadt 04,Hannover 96,1-2,https://www.besoccer.com/match/fc-ingolstadt-04/hannover-96/202216390,2022,17,2_liga
149,Fortuna Düsseldorf,FC St. Pauli,1-1,https://www.besoccer.com/match/fortuna-dusseldorf/st-pauli/202216385,2022,17,2_liga
150,Hamburger SV,Hansa Rostock,3-0,https://www.besoccer.com/match/hamburger-sv/hansa-rostock/202216384,2022,17,2_liga
151,Karlsruher SC,Heidenheim,3-2,https://www.besoccer.com/match/karlsruher-sc/heidenheim/202216386,2022,17,2_liga
152,Erzgebirge Aue,Dynamo Dresden,0-1,https://www.besoccer.com/match/fc-erzgebirge-aue/sg-dynamo-dresden/202216388,2022,17,2_liga
153,Fortuna Düsseldorf,Sandhausen,0-1,https://www.besoccer.com/match/fortuna-dusseldorf/sv-sandhausen/202216397,2022,18,2_liga
154,Holstein Kiel,FC St. Pauli,3-0,https://www.besoccer.com/match/holstein-kiel/st-pauli/202216395,2022,18,2_liga
155,Paderborn,Heidenheim,1-2,https://www.besoccer.com/match/paderborn/heidenheim/202216394,2022,18,2_liga
156,Erzgebirge Aue,Nürnberg,1-3,https://www.besoccer.com/match/fc-erzgebirge-aue/fc-nurnberg/202216396,2022,18,2_liga
157,Ingolstadt 04,Dynamo Dresden,3-0,https://www.besoccer.com/match/fc-ingolstadt-04/sg-dynamo-dresden/202216398,2022,18,2_liga
158,Hamburger SV,Schalke 04,1-1,https://www.besoccer.com/match/hamburger-sv/schalke-04/202216391,2022,18,2_liga
159,Hannover 96,Werder Bremen,1-4,https://www.besoccer.com/match/hannover-96/werder-bremen/202216392,2022,18,2_liga
160,Jahn Regensburg,Darmstadt 98,0-2,https://www.besoccer.com/match/ssv-jahn-regensburg/darmstadt-98/202216393,2022,18,2_liga
161,Karlsruher SC,Hansa Rostock,2-2,https://www.besoccer.com/match/karlsruher-sc/hansa-rostock/202216399,2022,18,2_liga
162,Hansa Rostock,Hannover 96,0-1,https://www.besoccer.com/match/hansa-rostock/hannover-96/202216406,2022,19,2_liga
163,Dynamo Dresden,Hamburger SV,1-1,https://www.besoccer.com/match/sg-dynamo-dresden/hamburger-sv/202216401,2022,19,2_liga
164,Werder Bremen,Fortuna Düsseldorf,3-0,https://www.besoccer.com/match/werder-bremen/fortuna-dusseldorf/202216402,2022,19,2_liga
165,Nürnberg,Paderborn,1-2,https://www.besoccer.com/match/fc-nurnberg/paderborn/202216404,2022,19,2_liga
166,FC St. Pauli,Erzgebirge Aue,2-2,https://www.besoccer.com/match/st-pauli/fc-erzgebirge-aue/202216405,2022,19,2_liga
167,Darmstadt 98,Karlsruher SC,2-2,https://www.besoccer.com/match/darmstadt-98/karlsruher-sc/202216403,2022,19,2_liga
168,Schalke 04,Holstein Kiel,1-1,https://www.besoccer.com/match/schalke-04/holstein-kiel/202216400,2022,19,2_liga
169,Sandhausen,Jahn Regensburg,0-3,https://www.besoccer.com/match/sv-sandhausen/ssv-jahn-regensburg/202216407,2022,19,2_liga
170,Heidenheim,Ingolstadt 04,2-1,https://www.besoccer.com/match/heidenheim/fc-ingolstadt-04/202216408,2022,19,2_liga
171,Fortuna Düsseldorf,Nürnberg,0-1,https://www.besoccer.com/match/fortuna-dusseldorf/fc-nurnberg/202216415,2022,20,2_liga
172,Hamburger SV,FC St. Pauli,2-1,https://www.besoccer.com/match/hamburger-sv/st-pauli/202216414,2022,20,2_liga
173,Paderborn,Werder Bremen,3-4,https://www.besoccer.com/match/paderborn/werder-bremen/202216409,2022,20,2_liga
174,Ingolstadt 04,Darmstadt 98,0-2,https://www.besoccer.com/match/fc-ingolstadt-04/darmstadt-98/202216412,2022,20,2_liga
175,Hansa Rostock,Heidenheim,0-0,https://www.besoccer.com/match/hansa-rostock/heidenheim/202216413,2022,20,2_liga
176,Erzgebirge Aue,Schalke 04,0-5,https://www.besoccer.com/match/fc-erzgebirge-aue/schalke-04/202216410,2022,20,2_liga
177,Jahn Regensburg,Holstein Kiel,1-2,https://www.besoccer.com/match/ssv-jahn-regensburg/holstein-kiel/202216411,2022,20,2_liga
